exerciseId,name,bodyParts,equipments,targetMuscles,broad_matched_terms,current_workout_type
13VW2VO,웨이티드 스트레치 런지,허벅지,중량,둔근,name:런,weight
1VpF8db,덤벨 바이셉스 컬 런지 볼링 모션,상완,덤벨,이두근,name:런,weight
1ZFqTDN,에어 바이크,허리/복부,맨몸,복근,name:바이크,weight
225x2Vd,밴드 니링 트위스팅 크런치,허리/복부,밴드,복근,name:런,weight
5WiFcYk,웨이티드 런지 위드 스윙,허벅지,중량,둔근,name:런,weight
62Nw60O,바벨 리어 런지 v. 2,허벅지,바벨,둔근,name:런,weight
76vfTdU,덤벨 스텝업 싱글 레그 밸런스 위드 바이셉 컬,상완,덤벨,이두근,name:런,weight
7858za8,플루이드 덤벨 스텝업 런지,허벅지,덤벨,대퇴사두근,name:런,weight
8gQo5Ss,싱글 스타일 케이블 스탠딩 크런치 (로프 어태치먼트 포함),허리/복부,케이블,복근,name:런,weight
8xUv4J7,케이블 시티드 크런치,허리/복부,케이블,복근,name:런,weight
9Ap7miY,디클라인 크런치,허리/복부,맨몸,복근,name:런,weight
9vz4JlC,웨이티드 런지 위드 스윙 트위스티드,허벅지,중량,둔근,name:런,weight
bLyQokI,런던 브릿지,등,로프,상부 등,name:런,weight
BMMolZ3,턱 크런치,허리/복부,맨몸,복근,name:런,weight
cJgSTmh,오블리크 크런치 v. 2,허리/복부,맨몸,복근,name:런,weight
CUmLRTA,케이블 니링 크런치 - 부드러운 변형,허리/복부,케이블,복근,name:런,weight
drfGhTV,밸런스 케이블 인클라인 플라이,가슴,케이블,대흉근,name:런,weight
dTg95eZ,니 터치 크런치,허리/복부,맨몸,복근,name:런,weight
ecl28tP,덤벨 콘트라래터럴 프론트 런지,허벅지,덤벨,둔근,name:런,weight
euq4pwp,밴드 스탠딩 트위스팅 크런치,허리/복부,밴드,복근,name:런,weight
eXFXCY0,레버 시티드 크런치 v. 2,허리/복부,레버리지 머신,복근,name:런,weight
FFRP97T,프로그 크런치,허리/복부,맨몸,복근,name:런,weight
