exerciseId,name,gifUrl,targetMuscles,secondaryMuscles,instructions,imageUrl,workout_type,met,bodyPartMajor,bodyPartMinor,equipmentCategory,equipmentDetail,equipmentOriginalDetail
01qpYSe,업워드 페이싱 독,https://static.exercisedb.dev/media/01qpYSe.gif,척추,어깨 | 가슴,"Step:1 바닥에 엎드려 다리를 뒤로 뻗습니다. | Step:2 손을 갈비뼈 아래 바닥에 대고 손가락은 앞으로 향하게 합니다. | Step:3 손을 바닥에 단단히 대고 팔을 펴서 몸통과 허벅지를 땅에서 들어 올립니다. | Step:4 어깨를 뒤로 당겨 내리면서 가슴을 열고 시선을 천장으로 향하게 합니다. | Step:5 몇 차례 숨을 쉬며 자세를 유지한 후, 천천히 몸을 시작 자세로 내립니다. | Step:6 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/01qpYSe.webp,weight,2.5,등,,맨몸,,맨몸
03lzqwk,어시스티드 행잉 니 레이즈,https://static.exercisedb.dev/media/03lzqwk.gif,복근,고관절 굴곡근,Step:1 풀업 바에 매달려 팔을 완전히 펴고 손바닥이 몸에서 멀어지도록 합니다. | Step:2 코어 근육을 사용하여 엉덩이와 무릎을 구부려 무릎을 가슴 쪽으로 들어 올립니다. | Step:3 복근을 조이며 동작의 최고 지점에서 잠시 멈춥니다. | Step:4 천천히 다리를 시작 자세로 내립니다. | Step:5 원하는 횟수만큼 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/03lzqwk.webp,weight,5.0,코어,허리 | 복부,기타,보조 기구,보조 기구
05Cf2v8,임파서블 딥스,https://static.exercisedb.dev/media/05Cf2v8.gif,삼두근,가슴 | 어깨,"Step:1 두 개의 평행 바 사이에 서서 팔을 완전히 펴고 몸을 공중에 매달립니다. | Step:2 무릎을 구부리고 발목을 교차합니다. | Step:3 팔꿈치를 구부려 상완이 바닥과 평행이 될 때까지 몸을 내립니다. | Step:4 잠시 멈춘 후, 팔을 펴서 시작 자세로 밀어 올립니다. | Step:5 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/05Cf2v8.webp,weight,3.5,팔,상완,맨몸,,맨몸
0br45wL,푸시업 인사이드 레그 킥,https://static.exercisedb.dev/media/0br45wL.gif,둔근,quadriceps | 햄스트링 | 종아리 | 코어,"Step:1 손을 어깨너비보다 약간 넓게 벌리고 발을 모은 푸시업 자세로 시작합니다. | Step:2 팔꿈치를 구부려 몸을 바닥 쪽으로 내리면서 등은 곧게 펴고 코어는 고정합니다. | Step:3 다시 밀어 올리면서 한쪽 다리를 땅에서 들어 올려 곧게 편 상태로 옆으로 찹니다. | Step:4 다리를 다시 내리고 푸시업을 반복한 후, 다른 쪽 다리로 전환합니다. | Step:5 푸시업 반복마다 다리 차기를 번갈아 가며 계속합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0br45wL.webp,weight,3.5,하체,허벅지,맨몸,,맨몸
0CXGHya,케이블 크로스오버 바리에이션,https://static.exercisedb.dev/media/0CXGHya.gif,대흉근,deltoids | 삼두근,"Step:1 케이블 풀리를 가슴 높이로 조절합니다. | Step:2 케이블 머신 중앙에 서서 한 발을 다른 발 앞에 둡니다. | Step:3 손바닥이 아래를 향하도록 손잡이를 잡고 팔을 옆으로 뻗습니다. | Step:4 팔을 약간 구부린 상태로 앞으로 한 걸음 나아갑니다. | Step:5 팔꿈치를 약간 구부린 상태로 손을 가슴 앞에서 모읍니다. | Step:6 잠시 멈춘 후, 천천히 팔을 시작 자세로 되돌립니다. | Step:7 원하는 횟수만큼 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0CXGHya.webp,weight,5.0,가슴,,케이블 머신,,케이블
0dCyly0,바벨 시티드 브래드포드 로키 프레스,https://static.exercisedb.dev/media/0dCyly0.gif,삼각근,삼두근 | 상부 등,Step:1 벤치에 앉아 등을 곧게 펴고 발을 바닥에 평평하게 둡니다. | Step:2 어깨너비보다 약간 넓게 오버핸드 그립으로 바벨을 잡습니다. | Step:3 팔꿈치를 약간 구부리고 앞으로 향하게 하면서 바벨을 어깨 높이까지 들어 올립니다. | Step:4 팔을 완전히 펴면서 바벨을 머리 위로 누릅니다. | Step:5 바벨을 어깨 높이로 다시 내리고 원하는 횟수만큼 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0dCyly0.webp,weight,5.0,어깨,,바벨,,바벨
0I5fUyn,밴드 언더핸드 풀다운 위드 클래식,,광배근,이두근 | 전완근,"Step:1 풀업 바나 튼튼한 보와 같은 높은 고정 지점에 밴드를 부착합니다. | Step:2 발을 어깨너비로 벌리고 고정 지점을 향해 섭니다. | Step:3 손을 어깨너비보다 약간 넓게 언더핸드 그립으로 밴드를 잡습니다. 클래식한 컨트롤을 강조합니다. | Step:4 팔꿈치를 약간 구부린 상태로 팔을 머리 위로 완전히 뻗습니다. | Step:5 광배근을 사용하여 밴드를 가슴 쪽으로 당기면서 견갑골을 함께 조입니다. | Step:6 동작의 가장 낮은 지점에서 잠시 멈춘 후, 천천히 긴장을 풀고 시작 자세로 돌아갑니다. | Step:7 원하는 횟수만큼 반복합니다.",,weight,3.5,등,,밴드,,밴드
0IgNjSM,덤벨 스탠딩 리버스 컬,https://static.exercisedb.dev/media/0IgNjSM.gif,이두근,전완근,Step:1 발을 어깨너비로 벌리고 똑바로 서서 각 손에 덤벨을 잡고 손바닥이 몸을 향하도록 합니다. | Step:2 팔꿈치를 고정한 상태에서 숨을 내쉬며 이두근을 수축하면서 무게를 컬링합니다. 이두근이 완전히 수축되고 덤벨이 어깨 높이에 올 때까지 무게를 계속 들어 올립니다. | Step:3 이두근을 조이면서 수축된 자세를 잠시 유지합니다. | Step:4 숨을 들이쉬면서 천천히 덤벨을 시작 자세로 내립니다. | Step:5 원하는 횟수만큼 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0IgNjSM.webp,weight,5.0,팔,상완,덤벨,,덤벨
0jp9Rlz,원 레그 플로어 카프 레이즈,https://static.exercisedb.dev/media/0jp9Rlz.gif,종아리,ankles | feet,"Step:1 발을 엉덩이 너비로 벌리고 서서 균형을 잡기 위해 벽이나 튼튼한 물체에 손을 댑니다. | Step:2 한쪽 발을 땅에서 떼고 다른 발로 균형을 잡습니다. | Step:3 발 앞꿈치로 몸을 들어 올리면서 천천히 뒤꿈치를 땅에서 뗍니다. | Step:4 맨 위에서 잠시 멈춘 후, 천천히 뒤꿈치를 시작 자세로 내립니다. | Step:5 원하는 횟수만큼 반복한 후, 다리를 바꿔 반복합니다.",https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0jp9Rlz.webp,weight,3.5,하체,종아리,맨몸,,맨몸
0JtKWum,덤벨 버피,https://static.exercisedb.dev/media/0JtKWum.gif,심폐 지구력,quadriceps | 햄스트링 | 종아리 | 어깨 | 삼두근 | 코어,Step:1 발을 어깨너비로 벌리고 각 손에 덤벨을 든 상태에서 서서 시작합니다. | Step:2 덤벨을 앞에 두고 몸을 스쿼트 자세로 내립니다. | Step:3 몸을 일직선으로 유지하면서 발을 뒤로 차서 푸시업 자세를 만듭니다. | Step:4 팔꿈치를 구부려 가슴을 바닥 쪽으로 내리면서 푸시업을 수행합니다. | Step:5 발을 손 쪽으로 다시 점프하여 스쿼트 자세로 착지합니다. | Step:6 덤벨을 땅에서 들어 어깨로 가져오면서 폭발적으로 일어섭니다. | Step:7 덤벨을 머리 위로 누르면서 팔을 완전히 폅니다. | Step:8 덤벨을 어깨로 다시 내리고 원하는 횟수만큼 전체 시퀀스를 반복합니다.,https://melo2026.s3.ap-northeast-2.amazonaws.com/workout-images/0JtKWum.webp,cardio,5.0,유산소,,덤벨,,덤벨
